"sum"|"d_year"|"p_brand1"
6481932347.00|1992|"MFGR#121"
6698160689.00|1992|"MFGR#1210"
7223556844.00|1992|"MFGR#1211"
6199733558.00|1992|"MFGR#1212"
7097586367.00|1992|"MFGR#1213"
7276037704.00|1992|"MFGR#1214"
6652308050.00|1992|"MFGR#1215"
7064875610.00|1992|"MFGR#1216"
7358345972.00|1992|"MFGR#1217"
6964606123.00|1992|"MFGR#1218"
6989219685.00|1992|"MFGR#1219"
6920131851.00|1992|"MFGR#122"
6350897342.00|1992|"MFGR#1220"
6911784528.00|1992|"MFGR#1221"
6807518767.00|1992|"MFGR#1222"
6477327990.00|1992|"MFGR#1223"
7214794632.00|1992|"MFGR#1224"
6726232813.00|1992|"MFGR#1225"
6797851556.00|1992|"MFGR#1226"
6340180538.00|1992|"MFGR#1227"
7026733124.00|1992|"MFGR#1228"
6375047030.00|1992|"MFGR#1229"
6751105342.00|1992|"MFGR#123"
6639416831.00|1992|"MFGR#1230"
6465817447.00|1992|"MFGR#1231"
7645439345.00|1992|"MFGR#1232"
6656626635.00|1992|"MFGR#1233"
6378894324.00|1992|"MFGR#1234"
7306619371.00|1992|"MFGR#1235"
7174359656.00|1992|"MFGR#1236"
7275878429.00|1992|"MFGR#1237"
6176002369.00|1992|"MFGR#1238"
6368656976.00|1992|"MFGR#1239"
6888692967.00|1992|"MFGR#124"
6914068086.00|1992|"MFGR#1240"
6204649648.00|1992|"MFGR#125"
6340209230.00|1992|"MFGR#126"
6894301072.00|1992|"MFGR#127"
6485293187.00|1992|"MFGR#128"
6051644044.00|1992|"MFGR#129"
6484505333.00|1993|"MFGR#121"
7033099432.00|1993|"MFGR#1210"
7101483116.00|1993|"MFGR#1211"
6533168638.00|1993|"MFGR#1212"
6748798674.00|1993|"MFGR#1213"
6837011723.00|1993|"MFGR#1214"
6876271681.00|1993|"MFGR#1215"
7014608990.00|1993|"MFGR#1216"
7104107107.00|1993|"MFGR#1217"
7041241334.00|1993|"MFGR#1218"
6391536258.00|1993|"MFGR#1219"
7016399486.00|1993|"MFGR#122"
6652159592.00|1993|"MFGR#1220"
6901240712.00|1993|"MFGR#1221"
6466924492.00|1993|"MFGR#1222"
6504802518.00|1993|"MFGR#1223"
6921461576.00|1993|"MFGR#1224"
6953563766.00|1993|"MFGR#1225"
6737030370.00|1993|"MFGR#1226"
6040194453.00|1993|"MFGR#1227"
7086290962.00|1993|"MFGR#1228"
6509212152.00|1993|"MFGR#1229"
6366174512.00|1993|"MFGR#123"
6630987299.00|1993|"MFGR#1230"
6517095475.00|1993|"MFGR#1231"
7568284786.00|1993|"MFGR#1232"
6963466750.00|1993|"MFGR#1233"
6444885592.00|1993|"MFGR#1234"
