"c_nation"|"s_nation"|"d_year"|"revenue"
"INDONESIA"|"INDONESIA"|1992|57784370465.00
"INDIA"|"INDONESIA"|1992|56836073162.00
"CHINA"|"INDONESIA"|1992|56081339551.00
"VIETNAM"|"INDONESIA"|1992|55879532033.00
"JAPAN"|"INDONESIA"|1992|55121511070.00
"INDONESIA"|"INDIA"|1992|54447345638.00
"VIETNAM"|"INDIA"|1992|54389880186.00
"INDONESIA"|"CHINA"|1992|54194604947.00
"INDONESIA"|"JAPAN"|1992|54105821105.00
"CHINA"|"INDIA"|1992|53934046875.00
"VIETNAM"|"CHINA"|1992|53550603787.00
"CHINA"|"CHINA"|1992|53298846515.00
"INDIA"|"INDIA"|1992|53254096212.00
"JAPAN"|"INDIA"|1992|52994493204.00
"CHINA"|"JAPAN"|1992|52773915380.00
"INDIA"|"CHINA"|1992|52737899209.00
"JAPAN"|"JAPAN"|1992|52375837869.00
"VIETNAM"|"JAPAN"|1992|52354299831.00
"INDIA"|"JAPAN"|1992|52322126195.00
"INDONESIA"|"VIETNAM"|1992|52101765639.00
"JAPAN"|"CHINA"|1992|50999577910.00
"VIETNAM"|"VIETNAM"|1992|50758665789.00
"INDIA"|"VIETNAM"|1992|50699816954.00
"CHINA"|"VIETNAM"|1992|50042584643.00
"JAPAN"|"VIETNAM"|1992|49687417719.00
"INDONESIA"|"INDONESIA"|1993|57680591375.00
"VIETNAM"|"INDONESIA"|1993|57538852145.00
"CHINA"|"INDONESIA"|1993|55709024115.00
"INDIA"|"INDONESIA"|1993|55508169970.00
"JAPAN"|"INDONESIA"|1993|54824129131.00
"INDONESIA"|"INDIA"|1993|54771767721.00
"VIETNAM"|"INDIA"|1993|54191724885.00
"VIETNAM"|"CHINA"|1993|53446567051.00
"INDONESIA"|"JAPAN"|1993|53318933823.00
"INDIA"|"INDIA"|1993|53182912681.00
"INDONESIA"|"CHINA"|1993|53153549766.00
"CHINA"|"INDIA"|1993|52946768563.00
"INDIA"|"JAPAN"|1993|52917477244.00
"VIETNAM"|"JAPAN"|1993|52506571322.00
"JAPAN"|"INDIA"|1993|52378784423.00
"CHINA"|"CHINA"|1993|52321275914.00
"INDIA"|"CHINA"|1993|52304982101.00
"CHINA"|"JAPAN"|1993|52104129751.00
"INDONESIA"|"VIETNAM"|1993|51758942381.00
"JAPAN"|"CHINA"|1993|51701463991.00
"JAPAN"|"JAPAN"|1993|51469818689.00
"CHINA"|"VIETNAM"|1993|51394809208.00
"VIETNAM"|"VIETNAM"|1993|50643986050.00
"INDIA"|"VIETNAM"|1993|50071829461.00
"JAPAN"|"VIETNAM"|1993|49971121351.00
"INDONESIA"|"INDONESIA"|1994|57551283075.00
"VIETNAM"|"INDONESIA"|1994|57332139825.00
"CHINA"|"INDONESIA"|1994|56333513019.00
"INDIA"|"INDONESIA"|1994|55809943943.00
"INDONESIA"|"INDIA"|1994|55152407420.00
"INDONESIA"|"CHINA"|1994|54539987962.00
"JAPAN"|"INDONESIA"|1994|54370453190.00
"INDONESIA"|"JAPAN"|1994|53954623304.00
"VIETNAM"|"INDIA"|1994|53831584947.00
"VIETNAM"|"JAPAN"|1994|53592825805.00
"VIETNAM"|"CHINA"|1994|53582376877.00
"CHINA"|"INDIA"|1994|53287024558.00
"INDIA"|"INDIA"|1994|53116872431.00
"JAPAN"|"INDIA"|1994|52939852701.00
"CHINA"|"JAPAN"|1994|52567142509.00
"INDIA"|"CHINA"|1994|52538498793.00
"VIETNAM"|"VIETNAM"|1994|52445697138.00
"INDIA"|"JAPAN"|1994|52379225425.00
"CHINA"|"CHINA"|1994|51734069647.00
"INDONESIA"|"VIETNAM"|1994|51626814499.00
"JAPAN"|"JAPAN"|1994|51584740733.00
"JAPAN"|"CHINA"|1994|51124004331.00
"JAPAN"|"VIETNAM"|1994|50312663655.00
"CHINA"|"VIETNAM"|1994|50163984414.00
"INDIA"|"VIETNAM"|1994|49278798420.00
"INDONESIA"|"INDONESIA"|1995|58035937651.00
"VIETNAM"|"INDONESIA"|1995|56532129973.00
"INDIA"|"INDONESIA"|1995|56099844435.00
"CHINA"|"INDONESIA"|1995|55351777133.00
"JAPAN"|"INDONESIA"|1995|55143520484.00
"INDONESIA"|"INDIA"|1995|54764279621.00
"INDONESIA"|"JAPAN"|1995|54529830881.00
"VIETNAM"|"INDIA"|1995|54382396276.00
"INDONESIA"|"CHINA"|1995|54005897628.00
"VIETNAM"|"JAPAN"|1995|53722186621.00
"INDIA"|"JAPAN"|1995|53307849244.00
"INDIA"|"CHINA"|1995|53172004883.00
"CHINA"|"CHINA"|1995|53171072274.00
"INDIA"|"INDIA"|1995|53029408131.00
"CHINA"|"INDIA"|1995|52965270665.00
"VIETNAM"|"CHINA"|1995|52606681118.00
"JAPAN"|"INDIA"|1995|52572307276.00
"JAPAN"|"CHINA"|1995|52430079590.00
"JAPAN"|"JAPAN"|1995|52084023389.00
"INDONESIA"|"VIETNAM"|1995|51999037528.00
"CHINA"|"JAPAN"|1995|51798941659.00
"VIETNAM"|"VIETNAM"|1995|50862531648.00
"JAPAN"|"VIETNAM"|1995|50650913507.00
"INDIA"|"VIETNAM"|1995|50358915369.00
"CHINA"|"VIETNAM"|1995|50311457259.00
"INDONESIA"|"INDONESIA"|1996|56788290505.00
"INDIA"|"INDONESIA"|1996|56407573647.00
"INDONESIA"|"INDIA"|1996|56253473759.00
"VIETNAM"|"INDONESIA"|1996|55909360870.00
"CHINA"|"INDONESIA"|1996|55500341442.00
"JAPAN"|"INDONESIA"|1996|55389817942.00
"INDONESIA"|"JAPAN"|1996|54402727730.00
"INDONESIA"|"CHINA"|1996|54227087044.00
"VIETNAM"|"JAPAN"|1996|54031890791.00
"VIETNAM"|"INDIA"|1996|53875383286.00
"CHINA"|"INDIA"|1996|53526358644.00
"INDIA"|"INDIA"|1996|53441854362.00
"INDIA"|"CHINA"|1996|53324082987.00
"VIETNAM"|"CHINA"|1996|53306826128.00
"JAPAN"|"JAPAN"|1996|53191129414.00
"CHINA"|"CHINA"|1996|53018602752.00
"JAPAN"|"INDIA"|1996|52922957931.00
"INDIA"|"JAPAN"|1996|52657916542.00
"CHINA"|"JAPAN"|1996|52158583092.00
"INDONESIA"|"VIETNAM"|1996|52128942301.00
"VIETNAM"|"VIETNAM"|1996|51575600046.00
"JAPAN"|"CHINA"|1996|51570483667.00
"CHINA"|"VIETNAM"|1996|50734498303.00
"INDIA"|"VIETNAM"|1996|50440058791.00
"JAPAN"|"VIETNAM"|1996|49426160556.00
"INDONESIA"|"INDONESIA"|1997|56957621699.00
"INDIA"|"INDONESIA"|1997|56603957867.00
"CHINA"|"INDONESIA"|1997|56216556450.00
"VIETNAM"|"INDONESIA"|1997|55382288433.00
