"sum"|"d_year"|"p_brand1"
567838207.00|1992|"MFGR#121"
610663790.00|1992|"MFGR#1210"
550769662.00|1992|"MFGR#1211"
649205856.00|1992|"MFGR#1212"
624031241.00|1992|"MFGR#1213"
670488468.00|1992|"MFGR#1214"
633152470.00|1992|"MFGR#1215"
674846781.00|1992|"MFGR#1216"
675093435.00|1992|"MFGR#1217"
600202070.00|1992|"MFGR#1218"
538043594.00|1992|"MFGR#1219"
655326672.00|1992|"MFGR#122"
540262882.00|1992|"MFGR#1220"
556120633.00|1992|"MFGR#1221"
590762777.00|1992|"MFGR#1222"
535448651.00|1992|"MFGR#1223"
703752611.00|1992|"MFGR#1224"
570832868.00|1992|"MFGR#1225"
614061593.00|1992|"MFGR#1226"
581759388.00|1992|"MFGR#1227"
644642592.00|1992|"MFGR#1228"
640858430.00|1992|"MFGR#1229"
789755835.00|1992|"MFGR#123"
468535087.00|1992|"MFGR#1230"
592436656.00|1992|"MFGR#1231"
664275152.00|1992|"MFGR#1232"
613885100.00|1992|"MFGR#1233"
667399281.00|1992|"MFGR#1234"
640290070.00|1992|"MFGR#1235"
501892561.00|1992|"MFGR#1236"
591481503.00|1992|"MFGR#1237"
477423770.00|1992|"MFGR#1238"
638259374.00|1992|"MFGR#1239"
572354196.00|1992|"MFGR#124"
740479248.00|1992|"MFGR#1240"
478777095.00|1992|"MFGR#125"
592174616.00|1992|"MFGR#126"
706151632.00|1992|"MFGR#127"
542306646.00|1992|"MFGR#128"
581987352.00|1992|"MFGR#129"
823087702.00|1993|"MFGR#121"
648160706.00|1993|"MFGR#1210"
634743898.00|1993|"MFGR#1211"
785639283.00|1993|"MFGR#1212"
638255029.00|1993|"MFGR#1213"
616837237.00|1993|"MFGR#1214"
634687975.00|1993|"MFGR#1215"
638353900.00|1993|"MFGR#1216"
663372951.00|1993|"MFGR#1217"
683985855.00|1993|"MFGR#1218"
646950033.00|1993|"MFGR#1219"
622532984.00|1993|"MFGR#122"
530830127.00|1993|"MFGR#1220"
543346337.00|1993|"MFGR#1221"
756921203.00|1993|"MFGR#1222"
533544350.00|1993|"MFGR#1223"
915916085.00|1993|"MFGR#1224"
473007381.00|1993|"MFGR#1225"
739036124.00|1993|"MFGR#1226"
592178887.00|1993|"MFGR#1227"
583507058.00|1993|"MFGR#1228"
617453491.00|1993|"MFGR#1229"
637863868.00|1993|"MFGR#123"
625534310.00|1993|"MFGR#1230"
580327635.00|1993|"MFGR#1231"
697373098.00|1993|"MFGR#1232"
515571416.00|1993|"MFGR#1233"
