"c_city"|"s_city"|"d_year"|"revenue"
"UNITED ST4"|"UNITED ST1"|1992|102027455.00
"UNITED ST1"|"UNITED ST0"|1992|96989491.00
"UNITED ST7"|"UNITED ST0"|1992|96078010.00
"UNITED ST9"|"UNITED ST0"|1992|94813294.00
"UNITED ST4"|"UNITED ST0"|1992|94644242.00
"UNITED ST2"|"UNITED ST4"|1992|91180500.00
"UNITED ST5"|"UNITED ST0"|1992|90432300.00
"UNITED ST6"|"UNITED ST7"|1992|87658267.00
"UNITED ST3"|"UNITED ST9"|1992|86142048.00
"UNITED ST6"|"UNITED ST5"|1992|85882966.00
"UNITED ST7"|"UNITED ST3"|1992|83765666.00
"UNITED ST2"|"UNITED ST9"|1992|83705618.00
"UNITED ST4"|"UNITED ST6"|1992|81886374.00
"UNITED ST2"|"UNITED ST1"|1992|81839165.00
"UNITED ST9"|"UNITED ST1"|1992|80795302.00
"UNITED ST6"|"UNITED ST3"|1992|78778218.00
"UNITED ST6"|"UNITED ST0"|1992|78696956.00
"UNITED ST0"|"UNITED ST1"|1992|77267396.00
"UNITED ST0"|"UNITED ST0"|1992|75622122.00
"UNITED ST1"|"UNITED ST9"|1992|75367059.00
"UNITED ST3"|"UNITED ST1"|1992|73637490.00
"UNITED ST2"|"UNITED ST0"|1992|72210218.00
"UNITED ST1"|"UNITED ST7"|1992|71472973.00
"UNITED ST6"|"UNITED ST4"|1992|71086944.00
"UNITED ST4"|"UNITED ST4"|1992|70111335.00
"UNITED ST6"|"UNITED ST1"|1992|69408688.00
"UNITED ST4"|"UNITED ST3"|1992|69001787.00
"UNITED ST5"|"UNITED ST7"|1992|68333651.00
"UNITED ST4"|"UNITED ST9"|1992|67837970.00
"UNITED ST7"|"UNITED ST6"|1992|65513205.00
"UNITED ST4"|"UNITED ST5"|1992|65057872.00
"UNITED ST7"|"UNITED ST4"|1992|64900888.00
"UNITED ST1"|"UNITED ST1"|1992|64669070.00
"UNITED ST3"|"UNITED ST5"|1992|64239048.00
"UNITED ST0"|"UNITED ST9"|1992|63979996.00
"UNITED ST3"|"UNITED ST4"|1992|63144772.00
"UNITED ST5"|"UNITED ST6"|1992|62628093.00
"UNITED ST4"|"UNITED ST7"|1992|62529376.00
"UNITED ST3"|"UNITED ST0"|1992|62441656.00
"UNITED ST9"|"UNITED ST4"|1992|61489513.00
"UNITED ST8"|"UNITED ST6"|1992|60540440.00
"UNITED ST7"|"UNITED ST9"|1992|60326042.00
"UNITED ST7"|"UNITED ST7"|1992|60121386.00
"UNITED ST5"|"UNITED ST1"|1992|59945287.00
"UNITED ST5"|"UNITED ST4"|1992|57625627.00
"UNITED ST7"|"UNITED ST5"|1992|57566802.00
"UNITED ST2"|"UNITED ST5"|1992|57021365.00
"UNITED ST9"|"UNITED ST7"|1992|56883359.00
"UNITED ST0"|"UNITED ST3"|1992|56359317.00
"UNITED ST1"|"UNITED ST3"|1992|55727474.00
"UNITED ST5"|"UNITED ST3"|1992|53963553.00
"UNITED ST0"|"UNITED ST7"|1992|50583409.00
"UNITED ST5"|"UNITED ST9"|1992|50191091.00
"UNITED ST7"|"UNITED ST1"|1992|50167208.00
"UNITED ST0"|"UNITED ST8"|1992|49732640.00
"UNITED ST0"|"UNITED ST4"|1992|49676807.00
"UNITED ST9"|"UNITED ST3"|1992|47681165.00
"UNITED ST8"|"UNITED ST4"|1992|46757019.00
"UNITED ST3"|"UNITED ST3"|1992|45087216.00
"UNITED ST8"|"UNITED ST0"|1992|44368839.00
