"d_year"|"c_nation"|"profit"
1992|"ARGENTINA"|102741829748.00
1992|"BRAZIL"|106840332949.00
1992|"CANADA"|106385599010.00
1992|"PERU"|103209573284.00
1992|"UNITED STATES"|104849444465.00
1993|"ARGENTINA"|105007435776.00
1993|"BRAZIL"|105528497067.00
1993|"CANADA"|106280926225.00
1993|"PERU"|105586019780.00
1993|"UNITED STATES"|104827255327.00
1994|"ARGENTINA"|104904273660.00
1994|"BRAZIL"|105827248207.00
1994|"CANADA"|106085553226.00
1994|"PERU"|104364021612.00
1994|"UNITED STATES"|105808415071.00
1995|"ARGENTINA"|103427787608.00
1995|"BRAZIL"|106848301398.00
1995|"CANADA"|105743185852.00
1995|"PERU"|102123686348.00
1995|"UNITED STATES"|103238489580.00
1996|"ARGENTINA"|103443044043.00
1996|"BRAZIL"|104656231425.00
1996|"CANADA"|106374899560.00
1996|"PERU"|104668012245.00
1996|"UNITED STATES"|105713106852.00
1997|"ARGENTINA"|104156969295.00
1997|"BRAZIL"|106851891464.00
1997|"CANADA"|106367630964.00
1997|"PERU"|103875006407.00
1997|"UNITED STATES"|105384708438.00
1998|"ARGENTINA"|59744839343.00
1998|"BRAZIL"|61384238372.00
1998|"CANADA"|63221521425.00
1998|"PERU"|60776071215.00
1998|"UNITED STATES"|61345891337.00
