"d_year"|"s_nation"|"p_category"|"profit"
1997|"ARGENTINA"|"MFGR#11"|10881199975.00
1997|"ARGENTINA"|"MFGR#12"|10810244087.00
1997|"ARGENTINA"|"MFGR#13"|10757126517.00
1997|"ARGENTINA"|"MFGR#14"|11049442880.00
1997|"ARGENTINA"|"MFGR#15"|11087878549.00
1997|"ARGENTINA"|"MFGR#21"|10804966556.00
1997|"ARGENTINA"|"MFGR#22"|10622531101.00
1997|"ARGENTINA"|"MFGR#23"|10609362992.00
1997|"ARGENTINA"|"MFGR#24"|10973922700.00
1997|"ARGENTINA"|"MFGR#25"|10606299673.00
1997|"BRAZIL"|"MFGR#11"|10077364362.00
1997|"BRAZIL"|"MFGR#12"|10319608398.00
1997|"BRAZIL"|"MFGR#13"|10035073383.00
1997|"BRAZIL"|"MFGR#14"|10187626505.00
1997|"BRAZIL"|"MFGR#15"|10175468452.00
1997|"BRAZIL"|"MFGR#21"|10031796115.00
1997|"BRAZIL"|"MFGR#22"|10673746102.00
1997|"BRAZIL"|"MFGR#23"|10517808918.00
1997|"BRAZIL"|"MFGR#24"|10305827682.00
1997|"BRAZIL"|"MFGR#25"|9842844829.00
1997|"CANADA"|"MFGR#11"|10745010163.00
1997|"CANADA"|"MFGR#12"|10121467149.00
1997|"CANADA"|"MFGR#13"|10570591802.00
1997|"CANADA"|"MFGR#14"|10797790838.00
1997|"CANADA"|"MFGR#15"|10575365240.00
1997|"CANADA"|"MFGR#21"|10370289909.00
1997|"CANADA"|"MFGR#22"|10850920667.00
1997|"CANADA"|"MFGR#23"|10614149290.00
1997|"CANADA"|"MFGR#24"|10376440529.00
1997|"CANADA"|"MFGR#25"|10465276550.00
1997|"PERU"|"MFGR#11"|10457063918.00
1997|"PERU"|"MFGR#12"|10550909833.00
1997|"PERU"|"MFGR#13"|10406898841.00
1997|"PERU"|"MFGR#14"|10534816487.00
1997|"PERU"|"MFGR#15"|11113913587.00
1997|"PERU"|"MFGR#21"|10448908762.00
1997|"PERU"|"MFGR#22"|10573329921.00
1997|"PERU"|"MFGR#23"|10425936485.00
1997|"PERU"|"MFGR#24"|10706340825.00
1997|"PERU"|"MFGR#25"|10438306823.00
1997|"UNITED STATES"|"MFGR#11"|10428073474.00
1997|"UNITED STATES"|"MFGR#12"|10559974673.00
1997|"UNITED STATES"|"MFGR#13"|10364083461.00
1997|"UNITED STATES"|"MFGR#14"|10540148356.00
1997|"UNITED STATES"|"MFGR#15"|10437901074.00
1997|"UNITED STATES"|"MFGR#21"|10437286228.00
1997|"UNITED STATES"|"MFGR#22"|10352323205.00
1997|"UNITED STATES"|"MFGR#23"|10516637992.00
1997|"UNITED STATES"|"MFGR#24"|11046456784.00
1997|"UNITED STATES"|"MFGR#25"|10439453926.00
1998|"ARGENTINA"|"MFGR#11"|5996837707.00
1998|"ARGENTINA"|"MFGR#12"|6259139142.00
1998|"ARGENTINA"|"MFGR#13"|6222603994.00
1998|"ARGENTINA"|"MFGR#14"|6479889442.00
1998|"ARGENTINA"|"MFGR#15"|6348242916.00
1998|"ARGENTINA"|"MFGR#21"|6087828648.00
1998|"ARGENTINA"|"MFGR#22"|6388633409.00
1998|"ARGENTINA"|"MFGR#23"|6632487266.00
1998|"ARGENTINA"|"MFGR#24"|6216663725.00
1998|"ARGENTINA"|"MFGR#25"|6441566090.00
1998|"BRAZIL"|"MFGR#11"|5934578560.00
1998|"BRAZIL"|"MFGR#12"|6056475266.00
1998|"BRAZIL"|"MFGR#13"|5997718979.00
1998|"BRAZIL"|"MFGR#14"|6109919085.00
1998|"BRAZIL"|"MFGR#15"|6249740160.00
1998|"BRAZIL"|"MFGR#21"|6052516806.00
1998|"BRAZIL"|"MFGR#22"|5942382958.00
1998|"BRAZIL"|"MFGR#23"|5958775603.00
1998|"BRAZIL"|"MFGR#24"|5822530360.00
1998|"BRAZIL"|"MFGR#25"|6133355197.00
1998|"CANADA"|"MFGR#11"|6085827465.00
1998|"CANADA"|"MFGR#12"|6220855920.00
1998|"CANADA"|"MFGR#13"|5871420743.00
1998|"CANADA"|"MFGR#14"|6338701919.00
1998|"CANADA"|"MFGR#15"|5984784112.00
1998|"CANADA"|"MFGR#21"|5951983515.00
1998|"CANADA"|"MFGR#22"|5970398144.00
1998|"CANADA"|"MFGR#23"|5983134741.00
1998|"CANADA"|"MFGR#24"|5973381393.00
1998|"CANADA"|"MFGR#25"|5881199228.00
1998|"PERU"|"MFGR#11"|6426225380.00
1998|"PERU"|"MFGR#12"|6335650305.00
1998|"PERU"|"MFGR#13"|6253777256.00
1998|"PERU"|"MFGR#14"|6155849801.00
1998|"PERU"|"MFGR#15"|6249905156.00
1998|"PERU"|"MFGR#21"|6030687396.00
1998|"PERU"|"MFGR#22"|6252824227.00
1998|"PERU"|"MFGR#23"|5987661003.00
1998|"PERU"|"MFGR#24"|6005696662.00
1998|"PERU"|"MFGR#25"|6268533961.00
1998|"UNITED STATES"|"MFGR#11"|6136157088.00
1998|"UNITED STATES"|"MFGR#12"|5972467075.00
1998|"UNITED STATES"|"MFGR#13"|5947252509.00
1998|"UNITED STATES"|"MFGR#14"|6049431394.00
1998|"UNITED STATES"|"MFGR#15"|6256546232.00
1998|"UNITED STATES"|"MFGR#21"|5979862168.00
1998|"UNITED STATES"|"MFGR#22"|6227910883.00
1998|"UNITED STATES"|"MFGR#23"|5931179314.00
1998|"UNITED STATES"|"MFGR#24"|6115408091.00
1998|"UNITED STATES"|"MFGR#25"|6295963298.00
