"c_custkey"|"revenue"|"c_acctbal"|"n_name"
57040|734235.2455|632.87|"JAPAN"
143347|721002.6948|2557.47|"EGYPT"
60838|679127.3077|2454.77|"BRAZIL"
101998|637029.5667|3790.89|"UNITED KINGDOM"
125341|633508.0860|4983.51|"GERMANY"
25501|620269.7849|7725.04|"ETHIOPIA"
115831|596423.8672|5098.10|"FRANCE"
84223|594998.0239|528.65|"UNITED KINGDOM"
54289|585603.3918|5583.02|"IRAN"
39922|584878.1134|7321.11|"GERMANY"
6226|576783.7606|2230.09|"UNITED KINGDOM"
922|576767.5333|3869.25|"GERMANY"
147946|576455.1320|2030.13|"ALGERIA"
115640|569341.1933|6436.10|"ARGENTINA"
73606|568656.8578|1785.67|"JAPAN"
110246|566842.9815|7763.35|"VIETNAM"
142549|563537.2368|5085.99|"INDONESIA"
146149|557254.9865|1791.55|"ROMANIA"
52528|556397.3509|551.79|"ARGENTINA"
23431|554269.5360|3381.86|"ROMANIA"
84727|552460.2264|7246.85|"PERU"
76693|550652.5204|8431.53|"JAPAN"
58354|548721.5623|2565.32|"RUSSIA"
61948|547328.8935|2014.59|"EGYPT"
83542|545814.8805|4981.46|"SAUDI ARABIA"
145294|544318.6091|4206.84|"UNITED STATES"
8008|544040.6567|4601.06|"KENYA"
48376|543237.6914|7539.33|"FRANCE"
25429|538641.3542|9589.41|"CHINA"
119050|537666.6214|2800.09|"UNITED KINGDOM"
98344|532277.4037|8721.39|"BRAZIL"
16099|531899.6681|-26.49|"BRAZIL"
93559|528313.6270|9816.77|"UNITED STATES"
20671|527909.6427|1498.24|"JORDAN"
9601|523461.3766|184.76|"ETHIOPIA"
78790|522637.3785|2241.94|"ARGENTINA"
78580|521880.4614|4386.76|"JAPAN"
2437|517350.1062|1907.53|"JAPAN"
112723|517011.5990|9196.43|"CHINA"
13810|516091.5921|5133.48|"CHINA"
113240|513322.3206|5208.22|"IRAN"
108598|513235.0627|7074.14|"CANADA"
49696|511762.1895|-773.60|"CANADA"
33688|510928.1387|3922.07|"ETHIOPIA"
77126|510764.5757|2745.96|"FRANCE"
97558|508563.1445|5772.33|"INDIA"
736|507269.6376|9114.68|"ARGENTINA"
67378|506883.5934|1018.96|"CANADA"
65494|506484.5052|1491.99|"VIETNAM"
54958|506174.1189|3168.12|"FRANCE"
61858|506062.1649|-574.88|"BRAZIL"
15643|505261.7154|5101.83|"ETHIOPIA"
133804|503396.0607|-39.76|"BRAZIL"
113617|501845.3616|4274.37|"PERU"
130780|501467.5426|6395.12|"BRAZIL"
11327|500138.1059|2208.86|"MOZAMBIQUE"
78770|499769.9018|8073.92|"PERU"
123889|499666.6777|6835.07|"JAPAN"
75307|498622.5346|3419.66|"FRANCE"
148951|498590.6473|898.03|"PERU"
135664|498389.1135|8069.83|"VIETNAM"
147727|497213.6194|4288.02|"MOROCCO"
129571|497179.1999|2791.05|"UNITED KINGDOM"
43849|494594.9837|4405.21|"IRAN"
26857|494021.4143|7727.26|"ETHIOPIA"
131308|490415.3110|887.50|"ETHIOPIA"
